Observation,anchoring_item,true_value,anchor,anchorhigh,estimate
191,Price of an average new car (USD),17157,100000,1,23000
192,Price of an average new car (USD),17157,100000,1,30000
193,Price of an average new car (USD),17157,100000,1,11000
194,Price of an average new car (USD),17157,1000,0,17000
195,Price of an average new car (USD),17157,1000,0,15000
196,Price of an average new car (USD),17157,100000,1,30000
197,Price of an average new car (USD),17157,1000,0,15000
198,Price of an average new car (USD),17157,100000,1,24000
199,Price of an average new car (USD),17157,100000,1,20000
200,Price of an average new car (USD),17157,1000,0,13000
201,Price of an average new car (USD),17157,100000,1,20000
202,Price of an average new car (USD),17157,100000,1,30000
203,Price of an average new car (USD),17157,1000,0,12000
204,Price of an average new car (USD),17157,1000,0,2000
205,Price of an average new car (USD),17157,100000,1,15000
206,Price of an average new car (USD),17157,1000,0,20000
207,Price of an average new car (USD),17157,100000,1,18000
208,Price of an average new car (USD),17157,1000,0,20000
209,Price of an average new car (USD),17157,100000,1,17000
210,Price of an average new car (USD),17157,1000,0,25000
211,Price of an average new car (USD),17157,100000,1,25000
212,Price of an average new car (USD),17157,1000,0,22000
213,Price of an average new car (USD),17157,100000,1,20000
214,Price of an average new car (USD),17157,1000,0,18000
215,Price of an average new car (USD),17157,100000,1,16000
216,Price of an average new car (USD),17157,100000,1,36000
217,Price of an average new car (USD),17157,100000,1,20000
218,Price of an average new car (USD),17157,1000,0,15000
219,Price of an average new car (USD),17157,100000,1,25000
220,Price of an average new car (USD),17157,100000,1,25000
221,Price of an average new car (USD),17157,100000,1,40000
222,Price of an average new car (USD),17157,1000,0,20000
223,Price of an average new car (USD),17157,100000,1,20000
224,Price of an average new car (USD),17157,100000,1,15000
225,Price of an average new car (USD),17157,1000,0,24000
226,Price of an average new car (USD),17157,100000,1,20000
227,Price of an average new car (USD),17157,100000,1,45000
228,Price of an average new car (USD),17157,1000,0,18000
229,Price of an average new car (USD),17157,1000,0,20000
230,Price of an average new car (USD),17157,100000,1,35000
231,Price of an average new car (USD),17157,100000,1,30000
232,Price of an average new car (USD),17157,1000,0,30000
233,Price of an average new car (USD),17157,1000,0,15000
234,Price of an average new car (USD),17157,100000,1,20000
235,Price of an average new car (USD),17157,1000,0,17000
236,Price of an average new car (USD),17157,1000,0,8000
237,Price of an average new car (USD),17157,1000,0,22000
238,Price of an average new car (USD),17157,100000,1,18000
239,Price of an average new car (USD),17157,100000,1,15000
240,Price of an average new car (USD),17157,1000,0,15000
241,Price of an average new car (USD),17157,100000,1,125000
242,Price of an average new car (USD),17157,100000,1,18000
243,Price of an average new car (USD),17157,100000,1,20000
244,Price of an average new car (USD),17157,1000,0,20000
245,Price of an average new car (USD),17157,1000,0,18000
246,Price of an average new car (USD),17157,100000,1,19000
247,Price of an average new car (USD),17157,100000,1,25000
248,Price of an average new car (USD),17157,1000,0,15000
249,Price of an average new car (USD),17157,1000,0,20000
250,Price of an average new car (USD),17157,1000,0,15000
251,Price of an average new car (USD),17157,1000,0,10000
252,Price of an average new car (USD),17157,1000,0,11000
253,Price of an average new car (USD),17157,100000,1,30000
254,Price of an average new car (USD),17157,1000,0,30000
255,Price of an average new car (USD),17157,1000,0,16000
256,Price of an average new car (USD),17157,1000,0,18000
257,Price of an average new car (USD),17157,100000,1,45000
258,Price of an average new car (USD),17157,100000,1,15000
259,Price of an average new car (USD),17157,1000,0,25000
260,Price of an average new car (USD),17157,1000,0,19000
261,Price of an average new car (USD),17157,100000,1,25000
262,Price of an average new car (USD),17157,100000,1,18000
263,Price of an average new car (USD),17157,100000,1,20000
264,Price of an average new car (USD),17157,100000,1,25000
265,Price of an average new car (USD),17157,100000,1,18000
266,Price of an average new car (USD),17157,1000,0,30000
267,Price of an average new car (USD),17157,100000,1,20000
268,Price of an average new car (USD),17157,1000,0,17500
269,Price of an average new car (USD),17157,100000,1,40000
270,Price of an average new car (USD),17157,100000,1,30000
271,Price of an average new car (USD),17157,1000,0,19000
272,Price of an average new car (USD),17157,100000,1,40000
273,Price of an average new car (USD),17157,1000,0,21000
274,Price of an average new car (USD),17157,100000,1,15000
275,Price of an average new car (USD),17157,100000,1,20000
276,Price of an average new car (USD),17157,100000,1,20000
277,Price of an average new car (USD),17157,100000,1,20000
278,Price of an average new car (USD),17157,1000,0,12500
279,Price of an average new car (USD),17157,100000,1,20000
280,Price of an average new car (USD),17157,100000,1,20000
281,Price of an average new car (USD),17157,100000,1,20000
282,Price of an average new car (USD),17157,1000,0,16
283,Price of an average new car (USD),17157,100000,1,15000
284,Price of an average new car (USD),17157,1000,0,20000
285,Price of an average new car (USD),17157,1000,0,20000
286,Price of an average new car (USD),17157,100000,1,15000
287,Price of an average new car (USD),17157,1000,0,15000
288,Price of an average new car (USD),17157,1000,0,18000
289,Price of an average new car (USD),17157,1000,0,30000
290,Price of an average new car (USD),17157,100000,1,25000
291,Price of an average new car (USD),17157,1000,0,16000
292,Price of an average new car (USD),17157,100000,1,20000
293,Price of an average new car (USD),17157,100000,1,30000
294,Price of an average new car (USD),17157,100000,1,75000
295,Price of an average new car (USD),17157,1000,0,25000
296,Price of an average new car (USD),17157,100000,1,18000
297,Price of an average new car (USD),17157,1000,0,20000
298,Price of an average new car (USD),17157,100000,1,10000
299,Price of an average new car (USD),17157,1000,0,20000
300,Price of an average new car (USD),17157,1000,0,25000
301,Price of an average new car (USD),17157,100000,1,11000
302,Price of an average new car (USD),17157,1000,0,4000
303,Price of an average new car (USD),17157,1000,0,18000
304,Price of an average new car (USD),17157,100000,1,25000
305,Price of an average new car (USD),17157,100000,1,25000
306,Price of an average new car (USD),17157,100000,1,50000
307,Price of an average new car (USD),17157,1000,0,26000
308,Price of an average new car (USD),17157,1000,0,31252
309,Price of an average new car (USD),17157,100000,1,21000
310,Price of an average new car (USD),17157,1000,0,40000
311,Price of an average new car (USD),17157,100000,1,20000
312,Price of an average new car (USD),17157,1000,0,17000
313,Price of an average new car (USD),17157,100000,1,25000
314,Price of an average new car (USD),17157,1000,0,20000
315,Price of an average new car (USD),17157,1000,0,14000
316,Price of an average new car (USD),17157,100000,1,18000
317,Price of an average new car (USD),17157,1000,0,17000
318,Price of an average new car (USD),17157,100000,1,22000
319,Price of an average new car (USD),17157,100000,1,25000
320,Price of an average new car (USD),17157,100000,1,30000
321,Price of an average new car (USD),17157,1000,0,15000
322,Price of an average new car (USD),17157,1000,0,20000
323,Price of an average new car (USD),17157,1000,0,25000
324,Price of an average new car (USD),17157,1000,0,17000
325,Price of an average new car (USD),17157,1000,0,8000
326,Price of an average new car (USD),17157,1000,0,13000
327,Price of an average new car (USD),17157,1000,0,15000
328,Price of an average new car (USD),17157,1000,0,20000
329,Price of an average new car (USD),17157,100000,1,25000
330,Price of an average new car (USD),17157,1000,0,17000
331,Price of an average new car (USD),17157,1000,0,18000
332,Price of an average new car (USD),17157,100000,1,15000
333,Price of an average new car (USD),17157,1000,0,18000
334,Price of an average new car (USD),17157,100000,1,25000
335,Price of an average new car (USD),17157,1000,0,20000
336,Price of an average new car (USD),17157,1000,0,15000
337,Price of an average new car (USD),17157,100000,1,30000
338,Price of an average new car (USD),17157,1000,0,10000
339,Price of an average new car (USD),17157,1000,0,25000
340,Price of an average new car (USD),17157,100000,1,31252
341,Price of an average new car (USD),17157,100000,1,25000
342,Price of an average new car (USD),17157,100000,1,30000
343,Price of an average new car (USD),17157,100000,1,20000
344,Price of an average new car (USD),17157,100000,1,20000
345,Price of an average new car (USD),17157,100000,1,15000
346,Price of an average new car (USD),17157,1000,0,23000
347,Price of an average new car (USD),17157,1000,0,25000
348,Price of an average new car (USD),17157,1000,0,18000
349,Price of an average new car (USD),17157,100000,1,40000
350,Price of an average new car (USD),17157,100000,1,18000
351,Price of an average new car (USD),17157,100000,1,10000
352,Price of an average new car (USD),17157,100000,1,30000
353,Price of an average new car (USD),17157,1000,0,20000
354,Price of an average new car (USD),17157,100000,1,30000
355,Price of an average new car (USD),17157,1000,0,20000
356,Price of an average new car (USD),17157,100000,1,15000
357,Price of an average new car (USD),17157,1000,0,23000
358,Price of an average new car (USD),17157,1000,0,15000
359,Price of an average new car (USD),17157,1000,0,17000
360,Price of an average new car (USD),17157,100000,1,18000
361,Price of an average new car (USD),17157,100000,1,16000
362,Price of an average new car (USD),17157,100000,1,20000
363,Price of an average new car (USD),17157,1000,0,15000
364,Price of an average new car (USD),17157,100000,1,16000
365,Price of an average new car (USD),17157,100000,1,13600
366,Price of an average new car (USD),17157,100000,1,35000
367,Price of an average new car (USD),17157,1000,0,12000
368,Price of an average new car (USD),17157,100000,1,112333
369,Price of an average new car (USD),17157,100000,1,30000
370,Price of an average new car (USD),17157,100000,1,16000
371,Price of an average new car (USD),17157,100000,1,13000
372,Price of an average new car (USD),17157,1000,0,15000
373,Price of an average new car (USD),17157,1000,0,20000
374,Price of an average new car (USD),17157,100000,1,15000
375,Price of an average new car (USD),17157,100000,1,28000
376,Price of an average new car (USD),17157,1000,0,20000
377,Price of an average new car (USD),17157,100000,1,30000
378,Price of an average new car (USD),17157,100000,1,13000
379,Price of an average new car (USD),17157,100000,1,27000
380,Price of an average new car (USD),17157,100000,1,30000
381,Price of an average new car (USD),17157,100000,1,41000
382,Price of an average new car (USD),17157,100000,1,20000
383,Price of an average new car (USD),17157,100000,1,50000
384,Price of an average new car (USD),17157,1000,0,23500
385,Price of an average new car (USD),17157,1000,0,12000
386,Price of an average new car (USD),17157,100000,1,20000
387,Price of an average new car (USD),17157,1000,0,25499
388,Price of an average new car (USD),17157,1000,0,24000
389,Price of an average new car (USD),17157,1000,0,20000
390,Price of an average new car (USD),17157,100000,1,25000
391,Price of an average new car (USD),17157,1000,0,22000
392,Price of an average new car (USD),17157,100000,1,30000
393,Price of an average new car (USD),17157,1000,0,12000
394,Price of an average new car (USD),17157,1000,0,18000
395,Price of an average new car (USD),17157,100000,1,40000
396,Price of an average new car (USD),17157,1000,0,17000
397,Price of an average new car (USD),17157,1000,0,15
398,Price of an average new car (USD),17157,1000,0,13
399,Price of an average new car (USD),17157,100000,1,12500
400,Price of an average new car (USD),17157,100000,1,16000
401,Price of an average new car (USD),17157,100000,1,12000
402,Price of an average new car (USD),17157,1000,0,17000
403,Price of an average new car (USD),17157,1000,0,20000
404,Price of an average new car (USD),17157,1000,0,12999
405,Price of an average new car (USD),17157,100000,1,22000
406,Price of an average new car (USD),17157,1000,0,20000
407,Price of an average new car (USD),17157,100000,1,21000
408,Price of an average new car (USD),17157,1000,0,15000
409,Price of an average new car (USD),17157,100000,1,15000
410,Price of an average new car (USD),17157,100000,1,20000
411,Price of an average new car (USD),17157,100000,1,20000
412,Price of an average new car (USD),17157,100000,1,18000
413,Price of an average new car (USD),17157,1000,0,30000
414,Price of an average new car (USD),17157,100000,1,15000
415,Price of an average new car (USD),17157,100000,1,20000
